venda_id,data_venda,ano,mes,ano_mes,trimestre,dia_semana,produto_id,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,custo_total,valor_total,lucro,margem_pct,regiao,cidade,canal,forma_pagamento,cliente_id
104781,2024-01-17,2024,1,2024-01,T1,Wednesday,1019,Halteres,Esportes,1,290.04,0.05,107.57,107.57,275.54,167.97,61.0,Sul,Florianopolis,E-commerce,Pix,759
104122,2024-01-17,2024,1,2024-01,T1,Wednesday,1023,Secador de Cabelo,Beleza,4,179.55,0.05,72.83,291.32,682.29,390.97,57.3,Centro-Oeste,Brasilia,App,Cartao De Debito,230
105092,2024-01-17,2024,1,2024-01,T1,Wednesday,1013,Almofada,Casa e Decoracao,1,33.06,0.0,20.74,20.74,33.06,12.32,37.3,Norte,Manaus,E-commerce,Cartao De Debito,733
111512,2024-01-17,2024,1,2024-01,T1,Wednesday,1001,Notebook,Eletronicos,1,3581.1,0.05,2220.02,2220.02,3402.04,1182.02,34.7,Sul,Nao Informado,E-commerce,Pix,84
110071,2024-01-17,2024,1,2024-01,T1,Wednesday,1004,Tablet,Eletronicos,2,958.97,0.0,701.26,1402.52,1917.94,515.42,26.9,Nordeste,Fortaleza,E-commerce,Dinheiro,238
105386,2024-01-17,2024,1,2024-01,T1,Wednesday,1000,Smartphone,Eletronicos,3,1360.88,0.05,1004.62,3013.86,3878.51,864.65,22.3,Sudeste,Sao Paulo,Loja Fisica,Pix,728
100462,2024-01-17,2024,1,2024-01,T1,Wednesday,1012,Jogo de Panelas,Casa e Decoracao,2,378.74,0.0,165.95,331.9,757.48,425.58,56.2,Norte,Manaus,Loja Fisica,Cartao De Debito,7
100144,2024-01-17,2024,1,2024-01,T1,Wednesday,1004,Tablet,Eletronicos,3,958.97,0.0,701.26,2103.78,2876.91,773.13,26.9,Sudeste,Rio de Janeiro,E-commerce,Dinheiro,368
106132,2024-01-17,2024,1,2024-01,T1,Wednesday,1012,Jogo de Panelas,Casa e Decoracao,2,378.74,0.05,165.95,331.9,719.61,387.71,53.9,Sul,Florianopolis,E-commerce,Cartao De Credito,654
109722,2024-01-17,2024,1,2024-01,T1,Wednesday,1022,Kit Skincare,Beleza,1,143.23,0.05,61.92,61.92,136.07,74.15,54.5,Nordeste,Fortaleza,Loja Fisica,Pix,683
111393,2024-01-17,2024,1,2024-01,T1,Wednesday,1018,Bola de Futebol,Esportes,1,150.12,0.05,53.27,53.27,142.61,89.34,62.6,Sul,Curitiba,E-commerce,Boleto,557
108423,2024-01-17,2024,1,2024-01,T1,Wednesday,1001,Notebook,Eletronicos,1,3581.1,0.0,2220.02,2220.02,3581.1,1361.08,38.0,Nordeste,Recife,E-commerce,Pix,464
110303,2024-01-18,2024,1,2024-01,T1,Thursday,1017,Azeite Extra Virgem,Alimentos,1,66.45,0.1,28.79,28.79,59.81,31.02,51.9,Centro-Oeste,Goiania,Loja Fisica,Boleto,208
105276,2024-01-18,2024,1,2024-01,T1,Thursday,1020,Bicicleta,Esportes,1,932.48,0.0,640.91,640.91,932.48,291.57,31.3,Sul,Nao Informado,Loja Fisica,Pix,121
102987,2024-01-18,2024,1,2024-01,T1,Thursday,1008,Tenis,Vestuario,1,405.85,0.05,97.94,97.94,385.56,287.62,74.6,Sudeste,Sao Paulo,E-commerce,Boleto,396
103007,2024-01-18,2024,1,2024-01,T1,Thursday,1021,Perfume,Beleza,1,235.41,0.0,98.2,98.2,235.41,137.21,58.3,Norte,Belem,Loja Fisica,Cartao De Credito,26
106160,2024-01-18,2024,1,2024-01,T1,Thursday,1007,Calca Jeans,Vestuario,1,180.96,0.0,75.6,75.6,180.96,105.36,58.2,Sudeste,Sao Paulo,App,Cartao De Credito,328
100888,2024-01-18,2024,1,2024-01,T1,Thursday,1014,Cortina,Casa e Decoracao,1,210.43,0.05,80.34,80.34,199.91,119.57,59.8,Sudeste,Belo Horizonte,E-commerce,Cartao De Debito,316
